"Station Name","PUKASKWA (AUT)"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","48.61"
"Longitude","-86.29"
"Elevation","191.50"
"Climate Identifier","6046768"
"WMO Identifier","71750"
"TC Identifier","WCJ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-06-01 00:00","2018","06","01","00:00","5.6","","5.4","","99","","3","","15","","","","98.92","","","","","","NA"
"2018-06-01 01:00","2018","06","01","01:00","5.1","","4.3","","95","","5","","19","","","","98.95","","","","","","NA"
"2018-06-01 02:00","2018","06","01","02:00","4.8","","4.1","","95","","4","","12","","","","99.08","","","","","","NA"
"2018-06-01 03:00","2018","06","01","03:00","4.3","","3.6","","95","","4","","12","","","","99.18","","","","","","NA"
"2018-06-01 04:00","2018","06","01","04:00","3.4","","2.6","","95","","4","","16","","","","99.26","","","","","","NA"
"2018-06-01 05:00","2018","06","01","05:00","2.9","","1.7","","92","","4","","15","","","","99.35","","","","","","NA"
"2018-06-01 06:00","2018","06","01","06:00","2.8","","1.4","","91","","5","","14","","","","99.47","","","","","","NA"
"2018-06-01 07:00","2018","06","01","07:00","3.2","","1.7","","90","","4","","13","","","","99.53","","","","","","NA"
"2018-06-01 08:00","2018","06","01","08:00","3.9","","1.2","","83","","4","","16","","","","99.57","","","","","","NA"
"2018-06-01 09:00","2018","06","01","09:00","4.9","","1.4","","78","","5","","15","","","","99.60","","","","","","NA"
"2018-06-01 10:00","2018","06","01","10:00","5.8","","2.0","","77","","6","","14","","","","99.67","","","","","","NA"
"2018-06-01 11:00","2018","06","01","11:00","7.6","","1.7","","66","","5","","13","","","","99.76","","","","","","NA"
"2018-06-01 12:00","2018","06","01","12:00","8.8","","1.2","","59","","4","","14","","","","99.79","","","","","","NA"
"2018-06-01 13:00","2018","06","01","13:00","10.3","","-0.3","","48","","4","","20","","","","99.79","","","","","","NA"
"2018-06-01 14:00","2018","06","01","14:00","12.5","","0.2","","43","","6","","16","","","","99.77","","","","","","NA"
"2018-06-01 15:00","2018","06","01","15:00","14.0","","-0.7","","36","","4","","13","","","","99.80","","","","","","NA"
"2018-06-01 16:00","2018","06","01","16:00","13.9","","-1.0","","36","","5","","15","","","","99.79","","","","","","NA"
"2018-06-01 17:00","2018","06","01","17:00","14.7","","0.1","","37","","5","","17","","","","99.82","","","","","","NA"
"2018-06-01 18:00","2018","06","01","18:00","14.3","","0.8","","40","","5","","14","","","","99.80","","","","","","NA"
"2018-06-01 19:00","2018","06","01","19:00","14.3","","0.5","","39","","5","","15","","","","99.85","","","","","","NA"
"2018-06-01 20:00","2018","06","01","20:00","13.1","","0.4","","42","","6","","11","","","","99.88","","","","","","NA"
"2018-06-01 21:00","2018","06","01","21:00","11.4","","0.8","","48","","5","","11","","","","99.92","","","","","","NA"
"2018-06-01 22:00","2018","06","01","22:00","10.2","","0.9","","52","","5","","9","","","","99.96","","","","","","NA"
"2018-06-01 23:00","2018","06","01","23:00","9.0","","0.8","","56","","6","","10","","","","99.96","","","","","","NA"
"2018-06-02 00:00","2018","06","02","00:00","7.8","","0.7","","61","","5","","10","","","","99.98","","","","","","NA"
"2018-06-02 01:00","2018","06","02","01:00","7.4","","0.7","","62","","5","","12","","","","100.01","","","","","","NA"
"2018-06-02 02:00","2018","06","02","02:00","6.6","","0.4","","65","","5","","9","","","","100.06","","","","","","NA"
"2018-06-02 03:00","2018","06","02","03:00","5.6","","0.5","","70","","4","","8","","","","100.06","","","","","","NA"
"2018-06-02 04:00","2018","06","02","04:00","4.7","","0.3","","73","","5","","9","","","","100.04","","","","","","NA"
"2018-06-02 05:00","2018","06","02","05:00","4.0","","0.0","","75","","5","","8","","","","100.07","","","","","","NA"
"2018-06-02 06:00","2018","06","02","06:00","4.0","","-0.4","","73","","5","","10","","","","100.03","","","","","","NA"
"2018-06-02 07:00","2018","06","02","07:00","5.6","","-0.8","","63","","5","","14","","","","100.00","","","","","","NA"
"2018-06-02 08:00","2018","06","02","08:00","7.9","","-2.0","","50","","7","","12","","","","100.01","","","","","","NA"
"2018-06-02 09:00","2018","06","02","09:00","9.9","","-2.1","","43","","7","","12","","","","99.96","","","","","","NA"
"2018-06-02 10:00","2018","06","02","10:00","13.0","","-1.4","","37","","6","","12","","","","99.91","","","","","","NA"
"2018-06-02 11:00","2018","06","02","11:00","14.7","","-1.9","","32","","6","","12","","","","99.83","","","","","","NA"
"2018-06-02 12:00","2018","06","02","12:00","16.8","","-2.3","","27","","7","","14","","","","99.70","","","","","","NA"
"2018-06-02 13:00","2018","06","02","13:00","19.8","","-1.8","","23","","9","","12","","","","99.61","","","","","","NA"
"2018-06-02 14:00","2018","06","02","14:00","12.1","","-2.5","","36","","26","","10","","","","99.56","","","","","","NA"
"2018-06-02 15:00","2018","06","02","15:00","13.8","","-0.9","","36","","22","","11","","","","99.42","","","","","","NA"
"2018-06-02 16:00","2018","06","02","16:00","13.4","","2.2","","47","","24","","10","","","","99.41","","","","","","NA"
"2018-06-02 17:00","2018","06","02","17:00","13.9","","0.3","","39","","22","","7","","","","99.33","","","","","","NA"
"2018-06-02 18:00","2018","06","02","18:00","15.1","","-2.0","","31","","25","","5","","","","99.21","","","","","","NA"
"2018-06-02 19:00","2018","06","02","19:00","15.9","","0.0","","34","","24","","5","","","","99.14","","","","","","NA"
"2018-06-02 20:00","2018","06","02","20:00","17.5","","-0.2","","30","","11","","8","","","","99.15","","","","","","NA"
"2018-06-02 21:00","2018","06","02","21:00","14.5","","1.9","","43","","8","","9","","","","99.12","","","","","","NA"
"2018-06-02 22:00","2018","06","02","22:00","14.6","","0.7","","39","","7","","11","","","","99.07","","","","","","NA"
"2018-06-02 23:00","2018","06","02","23:00","12.6","","1.0","","45","","6","","11","","","","99.03","","","","","","NA"
"2018-06-03 00:00","2018","06","03","00:00","12.7","","1.4","","46","","6","","11","","","","98.94","","","","","","NA"
"2018-06-03 01:00","2018","06","03","01:00","11.8","","1.8","","50","","6","","11","","","","98.89","","","","","","NA"
"2018-06-03 02:00","2018","06","03","02:00","12.4","","1.8","","48","","5","","8","","","","98.85","","","","","","NA"
"2018-06-03 03:00","2018","06","03","03:00","12.7","","2.4","","49","","6","","7","","","","98.77","","","","","","NA"
"2018-06-03 04:00","2018","06","03","04:00","12.3","","3.1","","53","","5","","10","","","","98.64","","","","","","NA"
"2018-06-03 05:00","2018","06","03","05:00","12.2","","3.8","","57","","6","","10","","","","98.59","","","","","","NA"
"2018-06-03 06:00","2018","06","03","06:00","12.6","","3.4","","53","","6","","5","","","","98.55","","","","","","NA"
"2018-06-03 07:00","2018","06","03","07:00","11.2","","7.8","","79","","9","","2","","","","98.52","","","","","","NA"
"2018-06-03 08:00","2018","06","03","08:00","11.5","","7.9","","78","","6","","6","","","","98.39","","","","","","NA"
"2018-06-03 09:00","2018","06","03","09:00","10.5","","6.1","","74","","23","","7","","","","98.38","","","","","","NA"
"2018-06-03 10:00","2018","06","03","10:00","9.6","","7.1","","84","","25","","2","","","","98.36","","","","","","NA"
"2018-06-03 11:00","2018","06","03","11:00","9.6","","8.8","","95","","0","","1","","","","98.34","","","","","","NA"
"2018-06-03 12:00","2018","06","03","12:00","9.8","","9.3","","97","","22","","4","","","","98.35","","","","","","NA"
"2018-06-03 13:00","2018","06","03","13:00","9.0","","8.5","","97","","20","","7","","","","98.34","","","","","","NA"
"2018-06-03 14:00","2018","06","03","14:00","6.7","","6.4","","98","","22","","11","","","","98.37","","","","","","NA"
"2018-06-03 15:00","2018","06","03","15:00","7.9","","7.7","","99","","20","","6","","","","98.33","","","","","","NA"
"2018-06-03 16:00","2018","06","03","16:00","7.3","","6.6","","96","","21","","5","","","","98.35","","","","","","NA"
"2018-06-03 17:00","2018","06","03","17:00","5.1","","4.5","","96","","22","","8","","","","98.38","","","","","","NA"
"2018-06-03 18:00","2018","06","03","18:00","4.1","","3.9","","99","","21","","7","","","","98.37","","","","","","NA"
"2018-06-03 19:00","2018","06","03","19:00","4.2","","4.2","","99","","20","","5","","","","98.38","","","","","","NA"
"2018-06-03 20:00","2018","06","03","20:00","4.0","","3.9","","100","","19","","5","","","","98.40","","","","","","NA"
"2018-06-03 21:00","2018","06","03","21:00","3.7","","3.7","","100","","20","","6","","","","98.40","","","","","","NA"
"2018-06-03 22:00","2018","06","03","22:00","3.7","","3.7","","100","","19","","6","","","","98.41","","","","","","NA"
"2018-06-03 23:00","2018","06","03","23:00","3.8","","3.8","","100","","18","","7","","","","98.38","","","","","","NA"
"2018-06-04 00:00","2018","06","04","00:00","4.0","","4.0","","100","","20","","5","","","","98.34","","","","","","NA"
"2018-06-04 01:00","2018","06","04","01:00","4.2","","4.2","","100","","19","","5","","","","98.28","","","","","","NA"
"2018-06-04 02:00","2018","06","04","02:00","4.6","","4.6","","100","","18","","6","","","","98.22","","","","","","NA"
"2018-06-04 03:00","2018","06","04","03:00","4.8","","4.8","","100","","18","","8","","","","98.20","","","","","","NA"
"2018-06-04 04:00","2018","06","04","04:00","5.2","","5.2","","100","","19","","4","","","","98.21","","","","","","NA"
"2018-06-04 05:00","2018","06","04","05:00","5.5","","5.5","","100","","24","","3","","","","98.22","","","","","","NA"
"2018-06-04 06:00","2018","06","04","06:00","5.6","","5.6","","100","","29","","7","","","","98.22","","","","","","NA"
"2018-06-04 07:00","2018","06","04","07:00","5.9","","5.9","","100","","29","","9","","","","98.21","","","","","","NA"
"2018-06-04 08:00","2018","06","04","08:00","7.0","","6.6","","97","","28","","7","","","","98.19","","","","","","NA"
"2018-06-04 09:00","2018","06","04","09:00","6.8","","6.1","","95","","27","","5","","","","98.14","","","","","","NA"
"2018-06-04 10:00","2018","06","04","10:00","6.5","","5.7","","95","","25","","4","","","","98.17","","","","","","NA"
"2018-06-04 11:00","2018","06","04","11:00","6.6","","6.0","","96","","29","","11","","","","98.19","","","","","","NA"
"2018-06-04 12:00","2018","06","04","12:00","7.0","","6.4","","96","","30","","7","","","","98.24","","","","","","NA"
"2018-06-04 13:00","2018","06","04","13:00","7.4","","7.0","","97","","31","","7","","","","98.27","","","","","","NA"
"2018-06-04 14:00","2018","06","04","14:00","7.9","","7.3","","96","","29","","5","","","","98.28","","","","","","NA"
"2018-06-04 15:00","2018","06","04","15:00","7.4","","7.1","","98","","30","","3","","","","98.33","","","","","","NA"
"2018-06-04 16:00","2018","06","04","16:00","9.3","","8.4","","94","","33","","5","","","","98.35","","","","","","NA"
"2018-06-04 17:00","2018","06","04","17:00","8.8","","6.6","","86","","36","","7","","","","98.40","","","","","","NA"
"2018-06-04 18:00","2018","06","04","18:00","8.0","","5.8","","86","","36","","9","","","","98.47","","","","","","NA"
"2018-06-04 19:00","2018","06","04","19:00","7.5","","6.4","","93","","36","","8","","","","98.55","","","","","","NA"
"2018-06-04 20:00","2018","06","04","20:00","7.4","","6.5","","94","","36","","7","","","","98.62","","","","","","NA"
"2018-06-04 21:00","2018","06","04","21:00","7.6","","6.8","","95","","36","","9","","","","98.68","","","","","","NA"
"2018-06-04 22:00","2018","06","04","22:00","8.0","","6.0","","87","","2","","10","","","","98.72","","","","","","NA"
"2018-06-04 23:00","2018","06","04","23:00","6.7","","5.9","","95","","36","","1","","","","98.72","","","","","","NA"
"2018-06-05 00:00","2018","06","05","00:00","5.9","","5.5","","98","","36","","6","","","","98.73","","","","","","NA"
"2018-06-05 01:00","2018","06","05","01:00","6.5","","5.6","","94","","3","","4","","","","98.71","","","","","","NA"
"2018-06-05 02:00","2018","06","05","02:00","6.0","","5.7","","98","","36","","4","","","","98.73","","","","","","NA"
"2018-06-05 03:00","2018","06","05","03:00","4.6","","4.4","","99","","36","","3","","","","98.73","","","","","","NA"
"2018-06-05 04:00","2018","06","05","04:00","4.4","","4.4","","100","","2","","5","","","","98.78","","","","","","NA"
"2018-06-05 05:00","2018","06","05","05:00","2.8","","2.8","","100","","","","0","","","","98.86","","","","","","NA"
"2018-06-05 06:00","2018","06","05","06:00","3.7","","3.7","","100","","2","","3","","","","98.89","","","","","","NA"
"2018-06-05 07:00","2018","06","05","07:00","6.5","","5.8","","95","","4","","9","","","","98.92","","","","","","NA"
"2018-06-05 08:00","2018","06","05","08:00","7.8","","4.5","","80","","4","","14","","","","99.01","","","","","","NA"
"2018-06-05 09:00","2018","06","05","09:00","8.0","","5.1","","82","","36","","5","","","","99.08","","","","","","NA"
"2018-06-05 10:00","2018","06","05","10:00","10.0","","5.5","","73","","4","","10","","","","99.10","","","","","","NA"
"2018-06-05 11:00","2018","06","05","11:00","11.6","","5.9","","68","","4","","9","","","","99.08","","","","","","NA"
"2018-06-05 12:00","2018","06","05","12:00","14.6","","7.2","","61","","4","","7","","","","99.09","","","","","","NA"
"2018-06-05 13:00","2018","06","05","13:00","16.4","","7.0","","54","","2","","9","","","","99.08","","","","","","NA"
"2018-06-05 14:00","2018","06","05","14:00","16.0","","7.8","","58","","26","","8","","","","99.11","","","","","","NA"
"2018-06-05 15:00","2018","06","05","15:00","14.5","","6.5","","59","","25","","8","","","","99.05","","","","","","NA"
"2018-06-05 16:00","2018","06","05","16:00","14.4","","5.6","","56","","26","","9","","","","99.06","","","","","","NA"
"2018-06-05 17:00","2018","06","05","17:00","13.4","","4.6","","55","","24","","6","","","","99.08","","","","","","NA"
"2018-06-05 18:00","2018","06","05","18:00","11.8","","4.3","","60","","22","","7","","","","99.09","","","","","","NA"
"2018-06-05 19:00","2018","06","05","19:00","8.9","","3.2","","67","","21","","6","","","","99.15","","","","","","NA"
"2018-06-05 20:00","2018","06","05","20:00","7.2","","3.4","","77","","19","","3","","","","99.12","","","","","","NA"
"2018-06-05 21:00","2018","06","05","21:00","6.3","","3.6","","82","","19","","3","","","","99.16","","","","","","NA"
"2018-06-05 22:00","2018","06","05","22:00","5.8","","3.3","","84","","17","","2","","","","99.16","","","","","","NA"
"2018-06-05 23:00","2018","06","05","23:00","4.6","","2.7","","87","","0","","1","","","","99.12","","","","","","NA"
"2018-06-06 00:00","2018","06","06","00:00","4.0","","3.1","","94","","5","","4","","","","99.14","","","","","","NA"
"2018-06-06 01:00","2018","06","06","01:00","3.8","","3.2","","96","","4","","4","","","","99.11","","","","","","NA"
"2018-06-06 02:00","2018","06","06","02:00","3.3","","2.8","","97","","21","","3","","","","99.09","","","","","","NA"
"2018-06-06 03:00","2018","06","06","03:00","2.5","","2.0","","97","","3","","4","","","","99.12","","","","","","NA"
"2018-06-06 04:00","2018","06","06","04:00","2.3","","2.1","","99","","5","","5","","","","99.02","","","","","","NA"
"2018-06-06 05:00","2018","06","06","05:00","1.6","","1.4","","99","","0","","1","","","","99.17","","","","","","NA"
"2018-06-06 06:00","2018","06","06","06:00","3.0","","3.0","","100","","2","","4","","","","99.06","","","","","","NA"
"2018-06-06 07:00","2018","06","06","07:00","6.0","","5.7","","98","","24","","4","","","","99.19","","","","","","NA"
"2018-06-06 08:00","2018","06","06","08:00","6.3","","3.7","","83","","21","","6","","","","99.09","","","","","","NA"
"2018-06-06 09:00","2018","06","06","09:00","7.2","","4.1","","81","","21","","6","","","","99.01","","","","","","NA"
"2018-06-06 10:00","2018","06","06","10:00","7.4","","3.4","","76","","20","","7","","","","98.99","","","","","","NA"
"2018-06-06 11:00","2018","06","06","11:00","6.8","","3.8","","81","","19","","14","","","","98.95","","","","","","NA"
"2018-06-06 12:00","2018","06","06","12:00","8.7","","4.2","","73","","19","","12","","","","98.88","","","","","","NA"
"2018-06-06 13:00","2018","06","06","13:00","10.6","","5.1","","69","","18","","13","","","","98.79","","","","","","NA"
"2018-06-06 14:00","2018","06","06","14:00","9.4","","5.2","","75","","19","","13","","","","98.73","","","","","","NA"
"2018-06-06 15:00","2018","06","06","15:00","11.4","","6.3","","71","","19","","13","","","","98.65","","","","","","NA"
"2018-06-06 16:00","2018","06","06","16:00","10.7","","6.3","","74","","21","","7","","","","98.84","","","","","","NA"
"2018-06-06 17:00","2018","06","06","17:00","10.8","","8.3","","85","","19","","13","","","","98.69","","","","","","NA"
"2018-06-06 18:00","2018","06","06","18:00","9.8","","6.3","","79","","19","","12","","","","98.66","","","","","","NA"
"2018-06-06 19:00","2018","06","06","19:00","9.7","","6.4","","80","","19","","11","","","","98.68","","","","","","NA"
"2018-06-06 20:00","2018","06","06","20:00","9.2","","5.7","","79","","19","","13","","","","98.69","","","","","","NA"
"2018-06-06 21:00","2018","06","06","21:00","9.2","","6.3","","82","","19","","10","","","","98.70","","","","","","NA"
"2018-06-06 22:00","2018","06","06","22:00","9.2","","6.7","","84","","20","","8","","","","98.72","","","","","","NA"
"2018-06-06 23:00","2018","06","06","23:00","7.6","","5.5","","87","","27","","5","","","","98.78","","","","","","NA"
"2018-06-07 00:00","2018","06","07","00:00","7.0","","5.9","","93","","22","","4","","","","98.83","","","","","","NA"
"2018-06-07 01:00","2018","06","07","01:00","6.4","","5.6","","94","","18","","3","","","","98.91","","","","","","NA"
"2018-06-07 02:00","2018","06","07","02:00","6.5","","5.9","","96","","23","","3","","","","98.96","","","","","","NA"
"2018-06-07 03:00","2018","06","07","03:00","5.9","","5.9","","100","","14","","1","","","","98.99","","","","","","NA"
"2018-06-07 04:00","2018","06","07","04:00","5.4","","5.4","","100","","34","","2","","","","99.03","","","","","","NA"
"2018-06-07 05:00","2018","06","07","05:00","4.3","","4.3","","100","","22","","3","","","","99.14","","","","","","NA"
"2018-06-07 06:00","2018","06","07","06:00","3.8","","3.8","","100","","24","","3","","","","99.24","","","","","","NA"
"2018-06-07 07:00","2018","06","07","07:00","5.7","","5.7","","100","","3","","1","","","","99.24","","","","","","NA"
"2018-06-07 08:00","2018","06","07","08:00","10.1","","7.4","","84","","25","","4","","","","99.36","","","","","","NA"
"2018-06-07 09:00","2018","06","07","09:00","9.4","","5.9","","79","","25","","6","","","","99.39","","","","","","NA"
"2018-06-07 10:00","2018","06","07","10:00","15.4","","5.8","","53","","2","","12","","","","99.46","","","","","","NA"
"2018-06-07 11:00","2018","06","07","11:00","17.1","","6.3","","49","","2","","8","","","","99.49","","","","","","NA"
"2018-06-07 12:00","2018","06","07","12:00","17.9","","5.6","","44","","2","","8","","","","99.51","","","","","","NA"
"2018-06-07 13:00","2018","06","07","13:00","15.5","","5.8","","52","","20","","10","","","","99.52","","","","","","NA"
"2018-06-07 14:00","2018","06","07","14:00","14.0","","7.7","","66","","25","","10","","","","99.64","","","","","","NA"
"2018-06-07 15:00","2018","06","07","15:00","14.9","","7.0","","59","","20","","5","","","","99.65","","","","","","NA"
"2018-06-07 16:00","2018","06","07","16:00","14.8","","6.3","","56","","24","","9","","","","99.66","","","","","","NA"
"2018-06-07 17:00","2018","06","07","17:00","14.6","","6.1","","57","","29","","9","","","","99.72","","","","","","NA"
"2018-06-07 18:00","2018","06","07","18:00","13.0","","5.9","","62","","24","","10","","","","99.77","","","","","","NA"
"2018-06-07 19:00","2018","06","07","19:00","11.3","","6.1","","70","","23","","5","","","","99.76","","","","","","NA"
"2018-06-07 20:00","2018","06","07","20:00","9.6","","6.3","","80","","23","","4","","","","99.81","","","","","","NA"
"2018-06-07 21:00","2018","06","07","21:00","7.9","","5.5","","85","","19","","4","","","","99.85","","","","","","NA"
"2018-06-07 22:00","2018","06","07","22:00","6.8","","5.8","","93","","17","","3","","","","99.87","","","","","","NA"
"2018-06-07 23:00","2018","06","07","23:00","6.2","","5.5","","95","","20","","3","","","","99.90","","","","","","NA"
"2018-06-08 00:00","2018","06","08","00:00","6.7","","6.3","","98","","27","","2","","","","99.91","","","","","","NA"
"2018-06-08 01:00","2018","06","08","01:00","6.5","","5.9","","96","","","","0","","","","99.91","","","","","","NA"
"2018-06-08 02:00","2018","06","08","02:00","6.4","","6.0","","97","","30","","1","","","","99.90","","","","","","NA"
"2018-06-08 03:00","2018","06","08","03:00","5.6","","5.3","","98","","26","","3","","","","99.91","","","","","","NA"
"2018-06-08 04:00","2018","06","08","04:00","4.7","","4.5","","98","","15","","3","","","","99.96","","","","","","NA"
"2018-06-08 05:00","2018","06","08","05:00","4.2","","4.1","","99","","25","","2","","","","100.03","","","","","","NA"
"2018-06-08 06:00","2018","06","08","06:00","6.3","","6.3","","100","","20","","2","","","","100.05","","","","","","NA"
"2018-06-08 07:00","2018","06","08","07:00","8.2","","7.8","","97","","25","","2","","","","100.11","","","","","","NA"
"2018-06-08 08:00","2018","06","08","08:00","9.5","","6.6","","82","","22","","5","","","","100.17","","","","","","NA"
"2018-06-08 09:00","2018","06","08","09:00","9.8","","5.9","","77","","24","","5","","","","100.16","","","","","","NA"
"2018-06-08 10:00","2018","06","08","10:00","11.1","","5.4","","68","","23","","8","","","","100.20","","","","","","NA"
"2018-06-08 11:00","2018","06","08","11:00","11.9","","6.6","","70","","23","","5","","","","100.19","","","","","","NA"
"2018-06-08 12:00","2018","06","08","12:00","12.7","","6.7","","67","","23","","7","","","","100.22","","","","","","NA"
"2018-06-08 13:00","2018","06","08","13:00","12.1","","5.4","","64","","25","","8","","","","100.16","","","","","","NA"
